date,open
1/18/2017,236.65
1/17/2017,236.7
1/13/2017,230
1/12/2017,229.06
1/11/2017,229.07
1/10/2017,232
1/9/2017,228.97
1/6/2017,226.93
1/5/2017,226.42
1/4/2017,214.75
1/3/2017,214.86
12/30/2016,216.3
12/29/2016,218.56
12/28/2016,221.53
12/27/2016,214.88
12/23/2016,208
12/22/2016,208.22
12/21/2016,208.45
12/20/2016,203.05
12/19/2016,202.49
12/16/2016,198.08
12/15/2016,198.41
12/14/2016,198.74
12/13/2016,193.18
12/12/2016,192.8
12/9/2016,190.87
12/8/2016,192.05
12/7/2016,186.15
12/6/2016,185.52
12/5/2016,182.51
12/2/2016,182.88
12/1/2016,188.25
11/30/2016,191
11/29/2016,195.56
11/28/2016,195.48
11/25/2016,193.64
11/23/2016,190.61
11/22/2016,185.84
11/21/2016,185.04
11/18/2016,190.65
11/17/2016,183.49
11/16/2016,182.65
11/15/2016,182.78
11/14/2016,188
11/11/2016,184.24
11/10/2016,191.05
11/9/2016,186.875
11/8/2016,193.79
11/7/2016,193.59
11/4/2016,189
11/3/2016,189
11/2/2016,190.05
11/1/2016,198.04
10/31/2016,202.49
10/28/2016,204
10/27/2016,211.34
10/26/2016,201
10/25/2016,202.9
10/24/2016,201
10/21/2016,198.6
10/20/2016,202.12
10/19/2016,199.74
10/18/2016,195.99
10/17/2016,197.05
10/14/2016,200.66
10/13/2016,200.5
10/12/2016,200.95
10/11/2016,201.85
10/10/2016,201.35
10/7/2016,201
10/6/2016,202.46
10/5/2016,212.24
10/4/2016,213.1
10/3/2016,212.3
9/30/2016,202.21
9/29/2016,205.6
9/28/2016,207.51
9/27/2016,209.65
9/26/2016,206.5
9/23/2016,205.99
9/22/2016,206.4
9/21/2016,206.37
9/20/2016,206.85
9/19/2016,207
9/16/2016,200.42
9/15/2016,196.49
9/14/2016,195.75
