Date,Retweets,Favorites,Subjectivity,Polarity
6/18/2018,448.0,6307.0,0.287638786084382,0.4506772760917839
6/17/2018,22584.0,191741.0,0.24857634423588004,0.5040099092186634
6/16/2018,28422.0,256950.0,0.5136971566557949,0.6396905856284009
6/15/2018,124061.0,585923.0,0.5817299923727322,0.466176576816218
6/14/2018,12742.0,11510.0,0.1869619625248027,0.5081399565921461
6/13/2018,1029.0,14893.0,0.04276324512554258,0.45831968171223597
6/12/2018,11087.0,75266.0,0.9892201460600937,0.3812053841250858
6/11/2018,82.0,1843.0,0.1347359307359307,0.5217099567099567
6/10/2018,8109.0,124188.0,0.44084836988839915,0.5725411339383738
6/9/2018,60922.0,438027.0,0.42486632735343016,0.4805433020208477
6/8/2018,11695.0,112782.0,0.23597906976121427,0.5081432965527768
